"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"Collage HR","collage-hr","We help Canadian businesses take care of their people with beautiful, automated HR and benefits.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/791279973772435456/5EgHkzHu_400x400.jpg","c116",1
"Capital One","capital-one","",6,"3.0",5,"2.5",4,"2.0",8,"4.0","https://www.capitalone.com/media/graphic-logo/global/icons/capone-logo200x200.png","c175",2
"Sequence","sequence","Sequence is a creative digital agency developing brands, digital products and connected experiences that engage people and build businesses.",3,"3.0",3,"3.0",3,"3.0",3,"3.0","https://scontent-yyz1-1.xx.fbcdn.net/v/t1.0-9/10885145_10152849390305380_1585821731874488017_n.jpg?oh=510f72a6e89e81a89cca30a638f99744&oe=59071E6E","c162",1
"ArcelorMittal Dofasco","arcelormittal-dofasco","ArcelorMittal is a Luxembourg-based multinational steel manufacturing corporation",3,"3.0",3,"3.0",3,"3.0",2,"2.0","https://pbs.twimg.com/profile_images/606499994921791490/YPKC1k1I_400x400.jpg","c123",1
"Pebble Technologies","pebble-technologies","Pebble Technology Corporation developed a line of smartwatches including the first commercially successful smartwatch, the Pebble Smartwatch.",4,"4.0",3,"3.0",3,"3.0",5,"5.0","https://pbs.twimg.com/profile_images/787010786593951744/h3tz5PXc.jpg","c98",1
"Ford","ford",,3,"3.0",4,"4.0",2,"2.0",4,"4.0",,"c345",1
"Bluesun","bluesun",,3,"3.0",3,"3.0",3,"3.0",5,"5.0",,"c281",1
"Jonah Group","jonah-group",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c299",1
"International Financial Data Services","international-financial-data-services","",4,"4.0",3,"3.0",4,"4.0",5,"5.0","https://pbs.twimg.com/profile_images/490224587628507136/bSAbCXbu_400x400.png","c243",1
"Box","box","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180496/e96bdc0ca52573d3b0f3b5bab25cfa32.png","c9",0
"Arista Networks","arista-networks","Arista Networks is a computer networking firm delivering cloud networking solutions for large data center and computer environments.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397195122/1ad3b565d4d44366f420ba92b80a9c23.jpg","c6",0
"Intentional Software","intentional-software","Intentional Software Corporation’s mission is to make the world’s knowledge more accessible and useful.",7,"3.5",7,"3.5",8,"4.0",9,"4.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1399767558/jylisfp762wfzqpkg8ye.png","c21",2
"Fair Ventures","fair-ventures","Fair Ventures is an investment and innovation unit of Fairfax Financial Holdings Ltd.",5,"5.0",5,"5.0",5,"5.0",4,"4.0","https://pbs.twimg.com/profile_images/652474341863456769/7Hn_sBHX_400x400.png","c109",1
"Github","github","GitHub is a web-based Git or version control repository and Internet hosting service.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://assets-cdn.github.com/images/modules/logos_page/GitHub-Mark.png","c16",0
"Collective Health","collective-health","Applying technology and design to create the healthcare experience we all deserve.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1445459024/xvytj9b1r1da0ckodmhc.png","c97",1
"OMERS Private Markets","omers-private-markets",,5,"5.0",3,"3.0",5,"5.0",5,"5.0",,"c363",1
"ATS Automation","ats-automation",,4,"4.0",4,"4.0",4,"4.0",4,"4.0",,"c322",1
"Tangam Systems","tangam-systems",,5,"5.0",4,"4.0",4,"4.0",5,"5.0",,"c333",1
"Hydro Ottawa Ltd.","hydro-ottawa-ltd",,1,"1.0",2,"2.0",1,"1.0",4,"4.0",,"c204",1
"Fitbit","fitbit","Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAYCAAAAJGMwNTFkM2RjLTkzOGMtNGY2MS05ZTExLTJmZjRlZjhiZjgyYg.png","c15",0
"McAfee","mcafee",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c372",1
"Aeryon Labs","aeryon-labs",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c351",1
"Bentley Systems","bentley-systems",,4,"4.0",4,"4.0",4,"4.0",4,"4.0",,"c338",1
"CIBC","cibc","The Canadian Imperial Bank of Commerce, commonly referred to as CIBC, is one of the Big Five banks in Canada.",16,"4.0",16,"4.0",15,"3.8",19,"4.8","https://pbs.twimg.com/profile_images/746356239542661124/aSVIaphB_400x400.jpg","c91",4
"Khan Academy","khan-academy","",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://cdn.worldvectorlogo.com/logos/khan-academy.svg","c260",0
"NCR Canada Ltd","ncr-canada-ltd",,4,"4.0",4,"4.0",3,"3.0",4,"4.0",,"c205",1
"Metroland Media","metroland-media","Metroland Media Group is a large media, publishing and distribution company operating in the southern part of the Canadian province of Ontario. ",11,"3.7",13,"4.3",9,"3.0",14,"4.7","https://pbs.twimg.com/profile_images/620687800480849920/IoZj6Szq_400x400.jpg","c69",3
"Kik","kik","",20,"4.0",17,"3.4",18,"3.6",23,"4.6","https://www.netsafe.org.nz/wp-content/uploads/2016/03/kik-logo.png","c203",5
"Docker Inc.","docker-inc",,4,"4.0",5,"5.0",5,"5.0",5,"5.0",,"c342",1
"BDO Canada","bdo-canada",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c352",1
